state,lx,seed,n_moves,n_out,local_eps,local_useful,matched,plain_eps,eta_q,ell,q,chi_sk,dis_eps_bestcase,eta,kappa,eta_equiv,residual_loss,max_null_std,n_disentangled,n_cuts,tau_eta_I,tau_dis,tau_etaq6_I,tau_etaq8_I,local_flops,plain_prop_flops,dis_prop_flops,ratio_plain,ratio_dis,dis_vs_plain,eps_etaq_4,eps_etaq_6,eps_etaq_8,eps_ell_8,eps_ell_12,resloss_ndis_0,disflops_ndis_0,resloss_ndis_1,disflops_ndis_1,resloss_ndis_3,disflops_ndis_3,resloss_ndis_5,disflops_ndis_5,resloss_ndis_10,disflops_ndis_10
tfim@1.0,4,2,3,16,0.02359264367730685,1,1,0.024025891947066717,2,2,0,4,0.00028120533463533943,4,2,8,2.1181742484713292e-08,2.062018419644232e-24,1,3,1.9071184764677646e-07,2.1181742484713292e-08,1.3825476010927321e-08,0.0,76688234.0,129968.0,1711712.0,590.0547365505355,44.802066001757304,0.07592866089622553,0.0038330791966247452,0.0011199689999384877,0.00028044541854822114,0.004490670039982873,0.003848013264999267,1.9071184764677646e-07,0.0,5.3408245565640515e-08,0.0,3.354310143981632e-08,0.0,2.609122699892466e-08,0.0,2.1181742484713292e-08,0.0
tfim@1.0,4,3,3,16,0.0062058280053132525,1,1,0.0054411833872514805,6,6,0,4,0.00104834351255277,4,2,8,1.7667413900153344e-06,5.2852923583895916e-23,1,3,1.7688783370142765e-06,1.7667413900153344e-06,1.978925727393681e-07,0.0,76692202.0,27171184.0,4390960.0,2.8225564995621832,17.465930457120994,6.18798258239656,0.014161531007246297,0.0035016693653644624,0.0010413025686876738,0.014462428970399675,0.014437423837701448,1.7688783370142765e-06,0.0,1.7685837693813514e-06,20480.0,1.7681759436691308e-06,48128.0,1.767766772068343e-06,75776.0,1.7667413900153344e-06,144896.0
tfim@1.0,4,1,3,16,0.003993369519775817,1,1,0.0009466367111948959,6,6,0,4,0.00015217417462611778,4,2,8,6.344058405889211e-08,6.159911265449793e-24,1,3,2.535190627469303e-07,6.344058405889211e-08,1.537290600180748e-08,0.0,85817706.0,27087376.0,4353712.0,3.168180852955266,19.711387891527966,6.221673826840177,0.00486768923277592,0.0005178779697569202,0.0001542791253867391,0.0045679391280319575,0.004717650146203803,2.535190627469303e-07,0.0,6.754735798031172e-08,20480.0,6.516607812213855e-08,48128.0,6.459055366091287e-08,75776.0,6.344058405889211e-08,144896.0
