state,lx,seed,eta_target,n_moves,local_eps,sweep_max_eps,global_eps,matched,local_useful,local_flops,global_fact_flops,global_prop_flops,ratio_fact,ratio_prop,prop_multiplier,eta_q,ell,q,chi_sk,final_bond,r_bond,n_out,near_full_rank,degenerate_lx3
heis,4,2,4,3,0.03202726213870963,1.5327647085333111,0.0368334785951494,0,1,76737386.0,61421016.0,211204568.0,1.249366926786102,0.3633320374017668,3.4386368340113425,8,12,1,4,8,8,16,0,0
heis,4,1,4,3,0.01638674646339314,2.0889476984058764,0.03540813116558619,0,1,76749674.0,193000920.0,475199960.0,0.39766480905894125,0.16151027032914733,2.4621642218078548,8,12,1,8,8,8,16,0,0
heis,4,3,4,3,0.027997838247475697,2.516374554640204,0.02921461676723599,1,1,76749674.0,53101312.0,191552256.0,1.445344212964079,0.40067225311092136,3.6072979891720944,8,10,1,4,8,8,16,0,0
heis,4,0,4,3,0.034677992942674145,2.3515661598731894,0.02892583370554324,1,1,76749674.0,44791832.0,171912216.0,1.7134747692391774,0.44644688891684114,3.8380260043840138,8,8,1,4,8,8,16,0,0
heis,5,2,4,3,0.029461472731269707,2.1893660566254165,0.048529288985934255,0,1,152691242.0,84177624.0,302892760.0,1.8139172234179477,0.5041099100552948,3.5982574181471314,8,12,1,4,8,8,32,0,0
heis,5,0,4,3,0.01655506283306656,2.6568236857551955,0.04154566349579277,0,1,152699434.0,253899480.0,652216024.0,0.6014168835635268,0.23412401471448668,2.5687962180938695,8,12,1,8,8,8,32,0,0
heis,5,3,4,3,0.019611712183555622,2.4320024005773977,0.053331402850642674,0,1,152683050.0,84177624.0,302892760.0,1.8138199053943362,0.5040828641793881,3.5982574181471314,8,12,1,4,8,8,32,0,0
heis,5,1,4,3,0.02800324717113628,2.577365817900621,0.05723711893457752,0,1,152699434.0,253899480.0,652216024.0,0.6014168835635268,0.23412401471448668,2.5687962180938695,8,12,1,8,8,8,32,0,0
heis,6,3,4,3,0.025250625026637618,2.65943292858676,0.09722262990394194,0,1,228661482.0,314815704.0,829249752.0,0.7263344207250856,0.27574501101569215,2.634080007647903,8,12,1,8,8,8,64,0,0
heis,6,0,4,3,0.01844179398251519,2.427603078152225,0.0725735064821356,0,1,228665578.0,266207104.0,722073472.0,0.858976242797788,0.3166791010430584,2.712450047914574,8,10,1,8,8,8,64,0,0
heis,6,1,4,3,0.020762658592414086,2.2411953904570563,0.09096029690949504,0,1,228661482.0,92987264.0,359864192.0,2.4590623722405685,0.6354104884100278,3.870037427921312,8,10,1,4,8,8,64,0,0
heis,6,2,4,3,0.047631028461560164,2.493151476282328,0.09045448873065096,0,1,228632810.0,314815704.0,829249752.0,0.7262433452176198,0.27571043518382626,2.634080007647903,8,12,1,8,8,8,64,0,0
