state,lx,seed,n_moves,n_out,local_eps,local_useful,matched,plain_eps,eta_q,ell,q,chi_sk,dis_eps_bestcase,eta,kappa,eta_equiv,residual_loss,max_null_std,n_disentangled,n_cuts,tau_eta_I,tau_dis,tau_etaq6_I,tau_etaq8_I,local_flops,plain_prop_flops,dis_prop_flops,ratio_plain,ratio_dis,dis_vs_plain,eps_etaq_4,eps_etaq_6,eps_etaq_8,eps_ell_8,eps_ell_12,resloss_ndis_0,disflops_ndis_0,resloss_ndis_1,disflops_ndis_1,resloss_ndis_3,disflops_ndis_3,resloss_ndis_5,disflops_ndis_5,resloss_ndis_10,disflops_ndis_10
tfim@3.5,5,0,3,32,0.027274486455668843,1,1,0.023452857578414046,6,8,0,4,0.00860266846566269,4,2,8,3.546579660256389e-05,3.023543271000958e-21,2,4,0.0001417147264958232,3.546579660256389e-05,2.2961848893836074e-05,2.1226809275053098e-06,152662570.0,44869448.0,7606232.0,3.402372367050292,20.07072227089576,5.899037526070727,0.05358774099187201,0.02466145489806586,0.009148538378986278,0.053674691004283646,0.05240650397987408,0.0001417147264958232,0.0,6.1022123084014924e-05,45056.0,4.152887120963996e-05,106496.0,3.773098992003756e-05,167936.0,3.546579660256389e-05,321536.0
tfim@3.5,4,2,3,16,0.016530524107542223,1,1,0.014480616470468952,6,6,0,4,0.0032255661633089835,4,2,8,2.483546998627923e-06,7.419425441610891e-22,1,3,4.0156556843047793e-05,2.483546998627923e-06,3.474425140718276e-06,0.0,76712810.0,27185152.0,4397168.0,2.8218643029842174,17.44595839867842,6.182422868537204,0.018387643949389403,0.007038923594718484,0.0033071365357197962,0.01844046382052265,0.01828482648404413,4.0156556843047793e-05,0.0,3.259729826893163e-06,20480.0,2.868040191211197e-06,48128.0,2.7603402164816274e-06,75776.0,2.483546998627923e-06,144896.0
tfim@3.5,4,0,3,16,0.020728868542654155,1,1,0.015408955750780183,6,6,0,4,0.004506381432978776,4,2,8,4.680709759020576e-06,1.7633228753210836e-21,1,3,3.624035316164117e-05,4.680709759020576e-06,1.2178562660985162e-05,0.0,76729194.0,27185152.0,4397168.0,2.8224669849188264,17.449684433253402,6.182422868537204,0.03402108764400733,0.009413638590071195,0.004198251854240533,0.03406712908232546,0.03396962422193296,3.624035316164117e-05,0.0,1.3043219051177339e-05,20480.0,7.080272788678074e-06,48128.0,6.114879785596354e-06,75776.0,4.680709759020576e-06,144896.0
tfim@3.5,6,1,3,64,0.03499869163169902,1,1,0.024945858866971895,8,8,0,4,0.014108138117255734,4,2,8,6.906049831940487e-05,1.0756041434971008e-20,3,5,0.00029618188099776705,6.906049831940487e-05,3.530152997047962e-05,7.98066462302994e-06,228624618.0,271992344.0,10134488.0,0.8405553429842129,22.55906938761978,26.838291584143175,0.07187661695003576,0.039180917214606585,0.013536105170815382,0.06783354255286306,0.0754350636328482,0.00029618188099776705,0.0,0.0001550655334161221,75264.0,8.402573863701007e-05,177664.0,7.181395432604833e-05,280064.0,6.906049831940487e-05,536064.0
tfim@3.5,4,3,3,16,0.02064147614854549,1,1,0.015274248460532965,6,8,0,4,0.004867975540260208,4,2,8,5.763452470556071e-06,8.582347192112249e-22,1,3,2.7639407261820212e-05,5.763452470556071e-06,2.13345869529698e-06,0.0,76687210.0,30619080.0,5211608.0,2.5045563093339185,14.71469266299384,5.8751694294735906,0.034646895653914066,0.00914828544050592,0.004898898304947029,0.03498068142752875,0.03478252467376561,2.7639407261820212e-05,0.0,1.1759691236228387e-05,20992.0,7.842987256737318e-06,49664.0,6.826913287640656e-06,78336.0,5.763452470556071e-06,150016.0
tfim@3.5,4,1,3,16,0.020593605158397185,1,1,0.019391407258767958,6,6,0,4,0.003070590270528528,4,2,8,4.080745462790641e-06,3.763667614993343e-22,1,3,2.9031127692361676e-05,4.080745462790641e-06,2.4467845597207636e-06,0.0,76725098.0,27185152.0,4397168.0,2.822316314435174,17.448752924609657,6.182422868537204,0.022376903298315064,0.0084799770826345,0.003332917395261141,0.02339538606909526,0.022535167969804523,2.9031127692361676e-05,0.0,4.774617010280472e-06,20480.0,4.62895865136011e-06,48128.0,4.475653308959943e-06,75776.0,4.080745462790641e-06,144896.0
tfim@3.5,5,2,3,32,0.020784208983504422,1,1,0.02116687013201767,6,8,0,4,0.009760596909908551,4,2,8,0.00020578965022509808,2.6251955228925263e-21,2,4,0.00022894324380634773,0.00020578965022509808,2.3139023325869712e-05,4.627357295672402e-06,155584554.0,44813720.0,7581464.0,3.4718062682589172,20.521703196110934,5.910958622239715,0.07751424158292504,0.019106681333060354,0.009625913840536906,0.0769802104749173,0.07508929467597228,0.00022894324380634773,0.0,0.0002207504065226673,45056.0,0.00021745381061347383,106496.0,0.00021413942263733828,167936.0,0.00020578965022509808,321536.0
tfim@3.5,5,1,3,32,0.02520343975713926,1,1,0.016076286141422643,8,8,0,4,0.01112965641163929,4,2,8,4.802019001220439e-05,1.706237722636511e-21,2,4,0.00011173873546062488,4.802019001220439e-05,2.4613610587338397e-05,4.847197825511202e-06,152674858.0,204284440.0,7606232.0,0.747364106634847,20.07233778827677,26.857508422041295,0.05966262753155704,0.02696129257093607,0.011064895602743314,0.05668444780328054,0.057001423156948686,0.00011173873546062488,0.0,7.792436633293143e-05,45056.0,6.287121919021737e-05,106496.0,5.4443064186037975e-05,167936.0,4.802019001220439e-05,321536.0
tfim@3.5,5,3,3,32,0.018188308913639654,1,1,0.014166733907068666,8,10,0,4,0.009989008486206959,4,2,8,6.10539881655558e-05,3.85905350517324e-21,2,4,0.0003919668756384515,6.10539881655558e-05,3.526149813295792e-05,8.560320165973992e-06,152657450.0,220404864.0,8733128.0,0.6926228724244489,17.480271673563013,25.237791545022585,0.0659492423007317,0.02524990915551636,0.01060921758970744,0.06635408901585663,0.0662435817598836,0.0003919668756384515,0.0,8.08034263710235e-05,46592.0,6.687213986434574e-05,111104.0,6.37926480672087e-05,175616.0,6.10539881655558e-05,336896.0
tfim@3.5,6,2,3,64,0.029854291389075995,1,1,0.023901358325724452,8,10,0,4,0.015290989724375852,4,2,8,3.135605133469413e-05,1.812490847696684e-21,3,5,7.423591360278999e-05,3.135605133469413e-05,2.823069604610793e-05,1.1022642676333896e-05,228628714.0,293427072.0,11603912.0,0.7791670769900877,19.702727321613608,25.28690944915818,0.06640986691408098,0.03755168256801671,0.019226695750426386,0.06941013936389845,0.0649788277735618,7.423591360278999e-05,0.0,3.503023855307035e-05,78848.0,3.310108666085157e-05,188416.0,3.224463783063848e-05,297984.0,3.135605133469413e-05,571904.0
tfim@3.5,6,0,3,64,0.020125399804940835,1,1,0.016964049574271268,8,10,1,4,0.019328531030153445,4,2,8,0.0001137484136073715,8.095124701337615e-21,3,5,0.00041380383400689157,0.0001137484136073715,5.187086890562763e-05,1.2614336050933691e-05,228611306.0,359864192.0,20348872.0,0.6352710580329148,11.234593544054924,17.684724342459866,0.0766878373186185,0.04382260546789723,0.021934062089319795,0.07143012136447462,0.07611115194127581,0.00041380383400689157,0.0,0.00013446902291879096,78848.0,0.00012511952219493893,188416.0,0.0001203657024359268,297984.0,0.0001137484136073715,571904.0
