state,lx,seed,eta_target,n_moves,local_eps,sweep_max_eps,global_eps,matched,local_useful,local_flops,global_fact_flops,global_prop_flops,ratio_fact,ratio_prop,prop_multiplier,eta_q,ell,q,chi_sk,final_bond,r_bond,n_out,near_full_rank,degenerate_lx3
tfim@3.5,8,0,3,3,0.028790476103225843,3.399468819943839,0.03389535969846756,0,1,87292152.0,45216912.0,438829440.0,1.9305199788963916,0.19892045529124025,9.704984718991868,8,10,0,4,8,8,256,0,0
tfim@3.5,8,0,4,3,0.037916302842719796,2.714828555336854,0.04214582729520348,0,1,383436906.0,301627160.0,880831256.0,1.2712280485616747,0.4353125566198119,2.920265058358803,8,8,1,8,8,8,256,0,0
tfim@3.5,8,0,6,3,0.01672477955921295,5.480312738863676,0.04168280862176983,0,1,1167826858.0,755055960.0,1185812696.0,1.5466759020086405,0.9848324798168631,1.5704964384361657,8,12,1,8,8,8,256,0,0
