state,lx,ly,seed,center_j,split,n_in,n_out,mpo_bond,col_eff_rank99,col_top_eta_frac,col_decades,svd2_eff_rank99,svd2_top_eta_frac,svd2_decades,col_spectrum,svd2_spectrum
xxz@1.5,5,4,2,3,left,2048,32,4,5,0.9841094497947488,3.4871310666091433,4,0.9917882244914662,1.8072223467297128,1;0.17895;0.116348;0.0973674;0.0880608;0.0743542;0.0421301;0.0212445;0.0204456;0.0157653;0.0141047;0.0133557;0.01068;0.00938745;0.0084863;0.00766852;0.00755337;0.00552113;0.00386899;0.00365872;0.00286159;0.00249658;0.0021219;0.00195917;0.00181065;0.00159494;0.00146401;0.00107643;0.00100281;0.000578906;0.000490171;0.000325738,1;0.407343;0.355896;0.127845;0.0715661;0.0567817;0.0474218;0.0155875
xxz@1.5,5,4,3,3,left,2048,32,4,5,0.9893924168375622,3.4178576608834645,5,0.9861381809114227,1.8548849502340548,1;0.177573;0.134291;0.0812715;0.0685805;0.0630135;0.0307172;0.0233758;0.0151609;0.0136724;0.0121077;0.0111507;0.011115;0.00975002;0.00835493;0.00757798;0.00581903;0.00490231;0.00455165;0.00353463;0.00324566;0.00304701;0.0020478;0.00158187;0.00152458;0.00139352;0.00135126;0.000991146;0.000742349;0.00067009;0.000427601;0.000382069,1;0.367074;0.343895;0.193507;0.105097;0.079463;0.0241797;0.0139674
xxz@1.5,6,4,0,3,left,16384,64,4,5,0.9868948287568309,4.203570857613615,4,0.991773422086068,2.0155845854599277,1;0.161753;0.117077;0.0939367;0.0740686;0.0527266;0.0451806;0.0344401;0.0267659;0.0188814;0.0152506;0.013733;0.0120085;0.0112581;0.0110317;0.00937736;0.00861984;0.00756278;0.00721031;0.00688586;0.00590315;0.00559582;0.00496527;0.00474923;0.00445181;0.00431358;0.00332706;0.00282594;0.0025889;0.00250112;0.00244174;0.00224939,1;0.432265;0.246456;0.18956;0.0684729;0.0627465;0.0439076;0.00964751
xxz@1.5,6,4,1,3,left,16384,64,4,4,0.9914979215572459,5.012505879043866,4,0.9988253354060791,2.4658477266830086,1;0.171057;0.133177;0.0661151;0.0516428;0.0447476;0.0410326;0.0341502;0.0228782;0.0196918;0.0113598;0.008856;0.00839325;0.0077096;0.00732288;0.00641186;0.00586062;0.00531144;0.00453199;0.00381523;0.00339363;0.00292629;0.00228147;0.0022521;0.00203439;0.00186799;0.00174826;0.00144261;0.0012658;0.00125071;0.00116744;0.00113539,1;0.828142;0.211474;0.141958;0.0427229;0.0108609;0.0101975;0.00342099
xxz@1.5,6,4,2,3,left,16384,64,4,3,0.9956509031073585,4.4216523032458825,4,0.9910303796252172,1.7259952079623297,1;0.168539;0.110816;0.0665905;0.0396961;0.0337479;0.0268594;0.0187121;0.0176481;0.0112941;0.0100831;0.00761963;0.00567314;0.00516373;0.00449211;0.0044414;0.00440128;0.00347492;0.00293279;0.00286374;0.00248265;0.00228941;0.00194307;0.00164189;0.00158124;0.00138047;0.00131133;0.00127574;0.00113034;0.000918779;0.000899921;0.000837737,1;0.405489;0.32053;0.137345;0.091042;0.0485996;0.025215;0.0187934
xxz@1.5,6,4,3,3,left,16384,64,4,5,0.9850012060292518,4.258124674687217,5,0.9726117115418711,1.4499720107133762,1;0.167251;0.0946106;0.0872775;0.0824045;0.0747234;0.0306954;0.0230157;0.0228598;0.016212;0.0158356;0.0146041;0.0124989;0.0119402;0.0100146;0.00953537;0.00768771;0.0069846;0.00658017;0.00512509;0.00448981;0.00436328;0.00388999;0.00354397;0.0033394;0.00315623;0.00272695;0.00270628;0.00238909;0.00213849;0.00202739;0.00201149,1;0.406032;0.276545;0.216249;0.161657;0.0804397;0.0490895;0.0354836
compass,4,4,0,3,left,256,16,4,3,0.9978939024960487,2.972396258127352,3,0.9979761975764347,2.309705998351287,1;0.258734;0.104561;0.0549653;0.0300258;0.024425;0.0179247;0.0138607;0.0112038;0.00829203;0.00616623;0.00402748;0.00305919;0.00256193;0.00203826;0.00106562,1;0.286176;0.130681;0.0865018;0.0364875;0.0268075;0.0130303;0.0049011
compass,4,4,1,3,left,256,16,4,2,0.99984748703249,4.0474990450269885,3,0.9999941839261761,3.7016433892601683,1;0.136939;0.0783225;0.0432241;0.00939293;0.00714404;0.00249909;0.00216959;0.00155168;0.0012767;0.00102312;0.000917101;0.000539161;0.000387867;0.000159628;8.96398e-05,1;0.253731;0.10991;0.0157276;0.00218029;0.00110901;0.000489029;0.000198773
compass,4,4,2,3,left,32,16,4,3,0.999663333860128,4.738335194130866,3,0.9994169087775874,3.738225530858294,1;0.215058;0.106015;0.0591537;0.0145566;0.00964078;0.0052814;0.00356864;0.00224731;0.00193476;0.00142524;0.000970958;0.000275216;8.07429e-05;2.43051e-05;1.82669e-05,1;0.373975;0.239139;0.0478169;0.0236182;0.0115559;0.00288686;0.000182715
compass,4,4,3,3,left,256,16,4,3,0.9981767542857153,3.446399875459236,2,0.9999845859642336,3.2839852981027624,1;0.302832;0.129069;0.0544454;0.0373075;0.0171449;0.0127898;0.00775069;0.00688108;0.00639061;0.00412578;0.00282482;0.00207968;0.00145513;0.000849995;0.000357767,1;0.374963;0.0345471;0.0292979;0.003587;0.00194021;0.000843628;0.000520014
compass,5,4,0,3,left,2048,32,4,3,0.9988209372808521,3.9597171034039427,3,0.9993351806800845,2.1028115523464725,1;0.206587;0.0952656;0.0418879;0.0221266;0.0180321;0.010394;0.00923814;0.00850742;0.00713263;0.00639272;0.00521259;0.00362958;0.00284312;0.00246788;0.00242228;0.00191629;0.00148635;0.00121687;0.000945652;0.000886095;0.000837111;0.000669078;0.000464926;0.000449145;0.000377009;0.000297999;0.000256542;0.000193473;0.000149142;0.000131822;0.000109719,1;0.387062;0.129052;0.0951318;0.0194114;0.0153497;0.01036;0.00789202
compass,5,4,1,3,left,2048,32,4,3,0.9971371751895779,4.370662181594102,2,0.9998996782846947,2.6666325441674528,1;0.149119;0.0984554;0.0643003;0.046647;0.0172701;0.0142141;0.00853018;0.00798094;0.00727796;0.00626999;0.00505205;0.00433948;0.00270915;0.00247527;0.00196876;0.00151351;0.00123832;0.00122811;0.00110145;0.000656622;0.000523684;0.000471723;0.000383067;0.000286379;0.000264225;0.000213379;0.000192702;0.00016776;0.000123342;0.000100305;4.2593e-05,1;0.433425;0.0518849;0.0407491;0.00905787;0.00510352;0.0026236;0.0021546
compass,5,4,2,3,left,2048,32,4,3,0.9972929450841745,3.7408740924924038,3,0.999555041299733,2.2314709741966037,1;0.311572;0.104523;0.0733543;0.031546;0.0284892;0.0200696;0.0181136;0.0131113;0.0103372;0.00802846;0.00584581;0.00543883;0.00451067;0.00427001;0.00292718;0.00262978;0.00223477;0.00214016;0.00202049;0.00163986;0.00132;0.00126558;0.00122105;0.000823769;0.000756382;0.000605835;0.000521593;0.0004;0.000385841;0.000216661;0.000181604,1;0.324558;0.22751;0.0239359;0.0151456;0.0125108;0.00974666;0.00586853
compass,5,4,3,3,left,2048,32,4,3,0.9957666568121532,4.08404581883942,3,0.9999733030555633,3.1881267061401957,1;0.251343;0.0831334;0.0730416;0.0497089;0.0249306;0.0219876;0.0171312;0.0147926;0.0122131;0.0101402;0.00786309;0.00602147;0.00565718;0.00540853;0.00455458;0.00395651;0.00353209;0.00269281;0.00233452;0.00189642;0.00144436;0.00127195;0.00111413;0.00107354;0.000646257;0.000554906;0.00051634;0.000249203;0.000201369;0.00010619;8.24051e-05,1;0.382406;0.27074;0.0250117;0.00522606;0.00191139;0.0010908;0.000648445
compass,6,4,0,3,left,10240,64,4,3,0.9966617694544041,4.063872341302144,2,0.9995328068541813,2.1105627657674204,1;0.774066;0.104611;0.0824165;0.0339239;0.0314092;0.0257616;0.0252724;0.0230159;0.0190482;0.0176951;0.0151569;0.0110872;0.00950522;0.00739401;0.00730647;0.00646235;0.0061664;0.00466524;0.00433645;0.00396856;0.00388587;0.00342528;0.00329037;0.00279722;0.00244922;0.00235475;0.00200441;0.00185994;0.00169201;0.00153334;0.00145391,1;0.447715;0.0531784;0.0211977;0.0151069;0.0135406;0.00953783;0.00775242
compass,6,4,1,3,left,16384,64,4,3,0.9976521031680988,5.103339420486174,3,0.9991078457684069,2.1351317350977,1;0.101629;0.0701897;0.0621541;0.0357375;0.0175704;0.0144454;0.0132156;0.00997786;0.00865338;0.00841329;0.00686282;0.00515565;0.00504339;0.00457305;0.00380043;0.00351197;0.00340794;0.00270157;0.00220939;0.00163999;0.00139013;0.00130978;0.00126005;0.00102546;0.00093253;0.00087804;0.000775318;0.000694588;0.000637408;0.000577702;0.000460496,1;0.327506;0.168906;0.0763299;0.022388;0.0178309;0.0121068;0.00732602
compass,6,4,2,3,left,10240,64,4,3,0.9982932332898068,4.817034291128785,3,0.9964589254672455,1.9506735818513006,1;0.255763;0.138624;0.0415723;0.0220988;0.0197227;0.0151155;0.0142247;0.0119223;0.00920657;0.00846477;0.00770484;0.00690819;0.00653648;0.0045968;0.00413177;0.00365283;0.00330826;0.00284162;0.00270041;0.0023716;0.0018884;0.00160019;0.00152587;0.00133879;0.00119713;0.0011378;0.000897635;0.00077443;0.000670183;0.000616218;0.000609793,1;0.284542;0.244556;0.0736845;0.0460847;0.0392414;0.0168529;0.0112028
compass,6,4,3,3,left,16384,64,4,2,0.9978345460579973,4.980733664618729,3,0.999472576512133,2.4058065574389893,1;0.114671;0.0619549;0.0510387;0.028531;0.0278741;0.0160655;0.00960063;0.00836465;0.00722893;0.00628965;0.00490851;0.00429667;0.00366432;0.00309053;0.00296205;0.0027582;0.00242255;0.00212687;0.00183408;0.00148332;0.00134326;0.0013157;0.00113528;0.00103274;0.000931578;0.00086619;0.000796044;0.000759695;0.000711485;0.000665255;0.000639295,1;0.402318;0.18562;0.0352139;0.0181664;0.0160908;0.00525258;0.0039282
