state,lx,seed,eta_target,n_moves,local_eps,sweep_max_eps,global_eps,matched,local_useful,local_flops,global_fact_flops,global_prop_flops,ratio_fact,ratio_prop,prop_multiplier,eta_q,ell,q,chi_sk,final_bond,r_bond,n_out,near_full_rank,degenerate_lx3
tfim@3.04,4,3,4,3,0.020938971143331556,2.26511257274568,0.01846715537376172,1,1,76708714.0,10660608.0,27185152.0,7.195528997970848,2.821713632500565,2.5500564320534065,6,6,0,4,6,6,16,0,0
tfim@3.04,4,0,4,3,0.01426447680039046,2.3698418413815703,0.01149457992013097,1,1,76712810.0,26245144.0,136588312.0,2.922933476760501,0.5616352444563485,5.204327017599903,8,8,0,4,8,8,16,0,0
tfim@3.04,4,1,4,3,0.0185060415417671,2.2048577438711416,0.017893566100392545,1,1,76712810.0,14514448.0,34061840.0,5.2852723024671695,2.2521628308981545,2.346754075663091,6,10,0,4,6,6,16,0,0
tfim@3.04,4,2,4,3,0.022348091054828694,2.2809255568783215,0.021085833341659897,1,1,76716906.0,10660608.0,27185152.0,7.196297434442764,2.8220149734678697,2.5500564320534065,6,6,0,4,6,6,16,0,0
tfim@3.04,5,1,4,3,0.021468592605554154,2.2116321204641336,0.02087448894394308,1,1,152678954.0,20857808.0,49788816.0,7.319990384416234,3.0665311261870536,2.387058889409664,6,10,0,4,6,6,32,0,0
tfim@3.04,5,2,4,3,0.027249401318219058,2.2350923482119995,0.024575659930344274,1,1,152653354.0,20857808.0,49788816.0,7.3187630262969146,3.0660169544903417,2.387058889409664,6,10,0,4,6,6,32,0,0
tfim@3.04,5,0,4,3,0.02053438532382703,2.3802896802171865,0.01822251253837827,1,1,152670762.0,38641176.0,204284440.0,3.9509864296055586,0.7473440561601266,5.286703489562533,8,8,0,4,8,8,32,0,0
tfim@3.04,5,3,4,3,0.015548372318695863,2.368391428798156,0.01576912358782277,1,1,152670762.0,43955328.0,220404864.0,3.473316408877668,0.692683270365576,5.014292328793451,8,10,0,4,8,8,32,0tfim@2.0,6,2,4,3,0.0348028663688025,2.2862243669728346,0.02364728888369693,1,1,228632810.0,51048984.0,271992344.0,4.478694620053555,0.8405854614790187,5.328065765226591,8,8,0,4,8,8,64,0,0
tfim@2.0,6,1tfim@3.04,6,2,4,3,0.02126420575841414,2.2998559207757374,0.021916782057305625,1,1,228636906.0,79032856.0,325142040.0,2.892934882677149,0.7031908454532672,4.114011013343615,8,8,1,4,8,8,tfim@2.0,6,0,4,3,0.037962105432499525,2.4630560387135705,0.03195207427248169,1,1,228636906.0,51048984.0,271992344.0,4.478774856714092,0.8406005207264217,5.328065765226591,8,8,0,4,8,8,64,0,0
tfim@2.0tfim@3.04,6,1,4,3,0.025364511926179827,2.574552497774891,0.021428699355650897,1,1,228632810.0,79032856.0,325142040.0,2.8928830561304784,0.7031782478820641,4.114011013343615,8,8,1,4,8,8,64,0,0
