state,lx,seed,eta_target,n_moves,local_eps,sweep_max_eps,global_eps,matched,local_useful,local_flops,global_fact_flops,global_prop_flops,ratio_fact,ratio_prop,prop_multiplier,eta_q,ell,q,chi_sk,final_bond,r_bond,n_out,near_full_rank,degenerate_lx3
xxz@0.5,4,2,4,3,0.030049699118221324,2.303218433792543,0.043850489578777865,0,1,76749674.0,61421016.0,211204568.0,1.2495669886020773,0.3633902179615736,3.4386368340113425,8,12,1,4,8,8,16,0,0
xxz@0.5,4,0,4,3,0.027754427929683696,2.4411589792800066,0.03263749170596878,0,1,76749674.0,193000920.0,475199960.0,0.39766480905894125,0.16151027032914733,2.4621642218078548,8,12,1,8,8,8,16,0,0
xxz@0.5,4,3,4,3,0.03900984604666788,2.106262650356543,0.04111243454950882,0,1,76749674.0,53101312.0,191552256.0,1.445344212964079,0.40067225311092136,3.6072979891720944,8,10,1,4,8,8,16,0,0
xxz@0.5,4,1,4,3,0.02961972458830229,2.5573588869397197,0.027258913875968082,1,1,76745578.0,44791832.0,171912216.0,1.7133833239953213,0.4464230628031693,3.8380260043840138,8,8,1,4,8,8,16,0,0
xxz@0.5,5,3,4,3,0.03214504856748142,2.4065018637580944,0.05637270775573863,0,1,152707626.0,253899480.0,652216024.0,0.6014491483007369,0.23413657497013596,2.5687962180938695,8,12,1,8,8,8,32,0,0
xxz@0.5,5,0,4,3,0.04446692650801756,2.339569047359938,0.051439347261714626,0,1,152703530.0,253899480.0,652216024.0,0.6014330159321318,0.23413029484231132,2.5687962180938695,8,12,1,8,8,8,32,0,0
xxz@0.5,5,2,4,3,0.03543251958260486,2.522006056566706,0.07346674690493789,0,1,152695338.0,73036928.0,275700864.0,2.0906593716537474,0.5538442491061617,3.7748146252810635,8,10,1,4,8,8,32,0,0
xxz@0.5,5,1,4,3,0.038326136631892736,2.333194567859421,0.0627060453264222,0,1,152699434.0,253899480.0,652216024.0,0.6014168835635268,0.23412401471448668,2.5687962180938695,8,12,1,8,8,8,32,0,0
xxz@0.5,6,0,4,3,0.06568376523950463,2.3777934891015016,0.08360681184228634,0,1,228657386.0,217608728.0,614909464.0,1.0507730461987719,0.37185536958982307,2.8257573565707346,8,8,1,8,8,8,64,0,0
xxz@0.5,6,3,4,3,0.04717456144990717,2.5021883352733165,0.10998522101503996,0,1,228653290.0,106951896.0,394598616.0,2.1379077749121906,0.579457911732767,3.6894962198706605,8,12,1,4,8,8,64,0,0
xxz@0.5,6,1,4,3,0.04161058694420495,2.407418199484736,0.09435607594689636,0,1,228653290.0,106951896.0,394598616.0,2.1379077749121906,0.579457911732767,3.6894962198706605,8,12,1,4,8,8,64,0,0
xxz@0.5,6,2,4,3,0.03460931230013911,5.991031607217909,0.053559470024402596,0,1,246265578.0,262764672.0,718631040.0,0.9372096184984867,0.3426870873821426,2.7348845433833664,8,10,1,8,8,8,64,0,0
