state,lx,seed,eta_target,n_moves,local_eps,sweep_max_eps,global_eps,matched,local_useful,local_flops,global_fact_flops,global_prop_flops,ratio_fact,ratio_prop,prop_multiplier,eta_q,ell,q,chi_sk,final_bond,r_bond,n_out,near_full_rank,degenerate_lx3
tfim@2.0,4,0,4,3,0.015511384204739806,6.683294390030423,0.0134379247038803,1,1,92862826.0,26013976.0,136357144.0,3.56972828759433,0.6810264814581332,5.241687929595999,8,8,0,4,8,8,16,0,0
tfim@2.0,4,1,4,3,0.018339811252212918,2.3220665839586045,0.016042540527794837,1,1,76729194.0,12583496.0,30619080.0,6.097605466716086,2.505927480512151,2.4332729155713166,6,8,0,4,6,6,16,0,0
tfim@2.0,4,2,4,3,0.021821931013478492,2.411071678019607,0.018982960497812732,1,1,76729194.0,14514448.0,34061840.0,5.286401108743508,2.252643838383364,2.346754075663091,6,10,0,4,6,6,16,0,0
tfim@2.0,4,3,4,3,0.028167308512509127,2.5262370289721803,0.029566683884833803,1,1,76725098.0,14514448.0,34061840.0,5.286118907174424,2.2525235865120616,2.346754075663091,6,10,0,4,6,6,16,0,0
tfim@2.0,5,0,4,3,0.03137522600191602,2.452586201118648,0.028979140666631098,1,1,152691242.0,38641176.0,204284440.0,3.9515164341789184,0.7474443085337288,5.286703489562533,8,8,0,4,8,8,32,0,0
tfim@2.0,5,3,4,3,0.021205856628625157,2.2570380781995505,0.02127593430613146,1,1,152695338.0,61906456.0,248521240.0,2.4665494984884937,0.6144156451174958,4.014464016483192,8,8,1,4,8,8,32,0,0
tfim@2.0,5,2,4,3,0.016349121008104327,2.4453365163444696,0.016928832664321318,1,1,152695338.0,73036928.0,275700864.0,2.0906593716537474,0.5538442491061617,3.7748146252810635,8,10,1,4,8,8,32,0,0
tfim@2.0,5,1,4,3,0.01613857054648013,2.257635720498578,0.01633591942101448,1,1,152683050.0,43955328.0,220404864.0,3.473595965431085,0.6927390223112317,5.014292328793451,8,10,0,4,8,8,32,0,0
tfim@2.0,6,0,4,3,0.036088279050880856,4.780016728591223,0.028437797551747204,1,1,241452778.0,57718912.0,293138560.0,4.183252414737131,0.8236813949007595,5.078726362686809,8,10,0,4,8,8,64,0,0
tfim@2.0,6,1,4,3,0.02966774653838817,2.32543602309796,0.04334233636974186,0,1,228661482.0,266207104.0,722073472.0,0.8589608562812809,0.31667342849011354,2.712450047914574,8,10,1,8,8,8,64,0,0
tfim@2.0,6,3,4,3,0.01964594119587784,3.965021932004334,0.019684216319012206,1,1,241412842.0,78145816.0,324255000.0,3.089261260001431,0.7445154030007247,4.1493584250243165,8,8,1,4,8,8,64,0,0
tfim@2.0,6,2,4,3,0.035693351125373106,2.5314432097495305,0.03578806996333727,1,1,228632810.0,23725512.0,59127496.0,9.63658065629943,3.866776465555044,2.4921483675462937,6,8,0,4,6,6,64,0,0
