state,lx,seed,n_moves,n_out,local_eps,local_useful,matched,plain_eps,eta_q,ell,q,chi_sk,dis_eps_bestcase,eta,kappa,eta_equiv,residual_loss,max_null_std,n_disentangled,n_cuts,tau_eta_I,tau_dis,tau_etaq6_I,tau_etaq8_I,local_flops,plain_prop_flops,dis_prop_flops,ratio_plain,ratio_dis,dis_vs_plain,eps_etaq_4,eps_etaq_6,eps_etaq_8,eps_ell_8,eps_ell_12,resloss_ndis_0,disflops_ndis_0,resloss_ndis_1,disflops_ndis_1,resloss_ndis_3,disflops_ndis_3,resloss_ndis_5,disflops_ndis_5,resloss_ndis_10,disflops_ndis_10
tfim@1.0,4,3,3,16,0.006205814720524696,1,1,0.00544137327378354,6,6,0,4,0.0010483357816101792,4,2,8,1.7667418843622718e-06,4.653417514368167e-23,1,3,1.7688788248769959e-06,1.7667418843622718e-06,1.9789143225997534e-07,0.0,76692202.0,27171184.0,4390960.0,2.8225564995621832,17.465930457120994,6.18798258239656,0.014161529058974894,0.00350168145288388,0.001041296501284998,0.014462430946059012,0.014437423482484975,1.7688788248769959e-06,0.0,1.768584258033313e-06,20480.0,1.768176433587082e-06,48128.0,1.7677672632544084e-06,75776.0,1.7667418843622718e-06,144896.0
tfim@1.0,4,1,3,16,0.00399332088165666,1,1,0.0009466375040861957,6,6,0,4,0.00015217443793385147,4,2,8,6.344017693189565e-08,4.123494951500475e-24,1,3,2.535355666042241e-07,6.344017693189565e-08,1.5372389055941747e-08,0.0,85821802.0,27087376.0,4353712.0,3.1683320673069257,19.712328697901928,6.221673826840177,0.0048677594190209,0.0005178863703435772,0.0001542795516423768,0.0045679278580355856,0.004717671615999384,2.535355666042241e-07,0.0,6.754569491245423e-08,20480.0,6.51655856113866e-08,48128.0,6.459015214047224e-08,75776.0,6.344017693189565e-08,144896.0
tfim@1.0,4,2,3,16,0.02359265668772142,1,1,0.024025894634120862,2,2,0,4,0.00028120608421421117,4,2,8,2.1181719653270968e-08,3.2188593912108267e-24,1,3,1.907118736816297e-07,2.1181719653270968e-08,1.382549527679165e-08,0.0,76684138.0,129968.0,1711712.0,590.0232211005786,44.79967307584454,0.07592866089622553,0.0038330795920325047,0.0011199699838208583,0.0002804460436924861,0.004490670858835021,0.003848013752075694,1.907118736816297e-07,0.0,5.3408281755010406e-08,0.0,3.354309555024728e-08,0.0,2.6091211363561797e-08,0.0,2.1181719653270968e-08,0.0
tfim@1.0,4,0,3,16,0.004237185591570035,1,1,0.0018279920196781656,6,6,0,4,0.0002494176234789271,4,2,8,9.014124897357312e-09,3.565896978010838e-24,1,3,9.670892001849038e-08,9.014124897357312e-09,2.2529254507889357e-08,0.0,76670826.0,27185152.0,4397168.0,2.820319930526782,17.436410435080035,6.182422868537204,0.006089317087088235,0.0007375659271352633,0.0002510292373950596,0.006177419095886137,0.005874775219763673,9.670892001849038e-08,0.0,1.9481101003538755e-08,20480.0,1.1001669985313885e-08,48128.0,9.40682865429634e-09,75776.0,9.014124897357312e-09,144896.0
tfim@1.0,5,2,3,32,0.002257333991752888,1,1,0.002194491175860647,6,10,0,4,0.0008118265837634538,4,2,8,2.430703440036585e-06,9.146650398993975e-23,2,4,2.8892444998348738e-06,2.430703440036585e-06,9.751027345685694e-08,1.2958305942324121e-08,156984874.0,49696080.0,8691912.0,3.1588985288175646,18.061028919758968,5.717508414719339,0.014400675132433127,0.0029995586385932627,0.0008179190266238348,0.014448929078448474,0.014429157863977098,2.8892444998348738e-06,0.0,2.835410073999653e-06,46592.0,2.775778370431097e-06,111104.0,2.7003912479749727e-06,175616.0,2.430703440036585e-06,336896.0
tfim@1.0,5,1,3,32,0.005600003829101623,1,1,0.003921538491976861,6,6,0,4,0.0010795032315635553,4,2,8,8.500394693743208e-07,2.2676307823021e-23,2,4,1.0109648028459307e-06,8.500394693743208e-07,4.787523783203982e-08,1.2170955009985242e-08,162096682.0,39819232.0,6419056.0,4.070813872050571,25.252417489425238,6.203284719746954,0.009640842644848064,0.0018681086474581902,0.0008123726951034982,0.009574287167962842,0.009621452022888806,1.0109648028459307e-06,0.0,9.711447834246422e-07,43520.0,9.227716830003241e-07,101888.0,8.884777606796107e-07,160256.0,8.500394693743208e-07,306176.0
tfim@1.0,5,3,3,32,0.005573590241212009,1,1,0.005184503394377825,8,8,0,4,0.004267021362000591,4,2,8,0.0005212947334946434,6.193164828393529e-21,2,4,0.0009236611309674026,0.0005212947334946434,4.0480936615412986e-05,1.398935104155364e-07,163202602.0,203954200.0,7523672.0,0.8001924059421184,21.691881570594784,27.10833220799631,0.024166018983196775,0.020584348866720448,0.0042312743524125125,0.02420659974908646,0.024178485220270485,0.0009236611309674026,0.0,0.0005672362351540714,45056.0,0.0005541327286156585,106496.0,0.0005471046895150343,167936.0,0.0005212947334946434,321536.0
tfim@1.0,5,0,3,32,0.010582309253997502,1,1,0.007415666963787512,6,6,0,4,0.0017597342822686561,4,2,8,7.485526982655749e-06,2.0162627778368377e-22,2,4,7.582671950979793e-06,7.485526982655749e-06,2.3329378527023756e-07,1.7642315574318694e-08,155551786.0,39917008.0,6462512.0,3.8968798964090694,24.06986416427544,6.17670156744003,0.01928807136866563,0.005990702064468997,0.0017630003430077622,0.019305575889661763,0.019273819076101577,7.582671950979793e-06,0.0,7.516843893380252e-06,43520.0,7.496452002231357e-06,101888.0,7.491448399951345e-06,160256.0,7.485526982655749e-06,306176.0
tfim@1.0,6,0,3,64,0.011186463683909046,1,1,0.008765554858645433,6,6,0,4,0.001703521050318836,4,2,8,1.0708524308602863e-05,1.5048737864635593e-22,3,5,1.072281793584275e-05,1.0708524308602863e-05,2.791862766002362e-07,3.4723799404421544e-08,231442026.0,52682560.0,8642032.0,4.39314311984839,26.780973039674002,6.096084809683648,0.02431841367224519,0.007785428587093699,0.001754775825653696,0.023853077797080072,0.02396326671836526,1.072281793584275e-05,0.0,1.071571439025727e-05,71680.0,1.0713445216603524e-05,166912.0,1.0711976894215768e-05,262144.0,1.0708524308602863e-05,500224.0
tfim@1.0,6,1,3,64,0.010294994920285102,1,1,0.009981851381385453,6,6,0,4,0.0022871660658763805,4,2,8,1.1183156427114823e-05,4.316085804913307e-22,3,5,1.119859050599183e-05,1.1183156427114823e-05,2.578460756427449e-07,3.7413496706727655e-08,209018090.0,52640656.0,8623408.0,3.9706589142810076,24.23845537634309,6.104391210528367,0.025726647171297152,0.00886468189642905,0.0023119953928163483,0.02574856191764999,0.025711874765021583,1.119859050599183e-05,0.0,1.1191049375184724e-05,71680.0,1.1189150555183013e-05,166912.0,1.118738890583977e-05,262144.0,1.1183156427114823e-05,500224.0
